Train,Dental Implant,Diabetes,Heart disease,Blood pressure,Cancer,Bone,Covid
32.96835152,43.80690139,15.94230748,18.40032118,34.33117775,0.768315225,34.33117775,0
31.80039427,46.02567595,17.11839046,13.04367048,10.32535054,11.84798357,7.508079546,7.126661703
46.85087835,40.17575155,16.7150365,16.63068131,8.161439329,24.67690091,33.1281249,3.253923665
33.5403974,34.65292568,16.27328169,13.10411423,7.547896977,1.530709225,24.16311346,0.541321165
54.51060292,35.78172368,5.756222391,22.52111761,10.99122791,19.02792029,17.84597261,0
44.73324933,38.61902456,18.30299771,30.59792129,9.328608064,18.29155134,10.80744449,17.26804277
35.57683615,39.8065777,17.94984262,18.26395199,20.12496432,20.89758986,8.639081153,18.29155134
32.11640843,26.1084416,8.359207748,7.547896977,17.09623263,18.39280216,16.52601365,1.437801463
37.53348761,32.6944109,11.66972717,10.45002943,10.52457824,13.11274631,6.419217875,17.74564328
46.50371545,39.03902487,9.749198796,7.682165102,8.392867128,18.73347868,14.24541184,10.35169002
42.90385125,47.61023791,6.068915763,10.43163018,11.19376142,25.73696223,21.88556962,14.89654613
35.57683615,25.6594127,15.87376186,20.62677182,2.831841376,10.27473213,13.51061213,10.72013849
31.74738684,36.80429747,10.42246381,16.12081487,27.18579404,20.32997442,17.11341714,15.7077642
45.70000929,33.13642471,11.4391469,12.67870586,4.954672213,6.903351302,19.78936272,21.18642107
41.04388181,31.8969912,17.69555414,9.049060106,11.02264231,12.17265347,18.82053708,12.48208288
39.31492132,28.35182533,29.50656588,16.76898655,12.1130106,10.55441164,12.4996591,12.53470245
37.61930246,25.68822178,16.96830035,27.18579404,13.40655645,7.120686323,22.37003616,13.25541825
41.86433803,22.37846269,15.93938042,1.250904258,10.78220577,13.62344138,16.64830043,14.99469932
40.30194183,43.21527122,19.69190493,6.5970775,12.22911771,29.52015257,7.358188721,3.02125562
32.44526385,42.42306883,23.1104614,18.10293497,16.27328169,10.436243,7.486981093,3.961051519
